                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76115,                0.69062,                 1.3071,                 0.8855,                0.88447,                0.91638,                0.74089,                0.86937,                0.65907,                 1.0786,             0.00077907,             0.00077907,             0.00077907
                     36,                0.74896,                 0.6774,                 1.2926,                0.89675,                 0.9051,                0.92255,                0.75458,                0.95772,                0.86777,                 1.1874,             0.00076679,             0.00076679,             0.00076679
                     37,                0.73916,                0.66011,                 1.2918,                0.91549,                0.90889,                0.92319,                0.75965,                0.79897,                0.62983,                 1.0186,              0.0007543,              0.0007543,              0.0007543
                     38,                0.73966,                0.66181,                 1.2908,                0.89703,                0.90879,                 0.9281,                 0.7634,                0.77804,                0.59313,                0.98324,              0.0007416,              0.0007416,              0.0007416
                     39,                0.74609,                0.66027,                 1.2946,                0.90042,                0.90619,                0.92208,                0.75578,                 0.7984,                 0.6286,                 1.0432,             0.00072872,             0.00072872,             0.00072872
                     40,                0.73043,                0.65234,                 1.2812,                0.89948,                0.90549,                0.92322,                0.75844,                0.81357,                0.64438,                 1.0569,             0.00071566,             0.00071566,             0.00071566
                     41,                 0.7215,                0.63666,                 1.2765,                0.90065,                0.91259,                0.92828,                 0.7641,                0.83845,                0.70338,                 1.1013,             0.00070243,             0.00070243,             0.00070243
                     42,                 0.7146,                0.63404,                 1.2728,                0.91668,                0.89596,                0.93078,                0.76779,                0.82267,                 0.6444,                 1.0792,             0.00068906,             0.00068906,             0.00068906
                     43,                0.73596,                0.64833,                 1.2807,                0.89441,                0.91009,                 0.9243,                0.76799,                0.79191,                0.60889,                  1.014,             0.00067555,             0.00067555,             0.00067555
                     44,                0.70826,                0.62098,                 1.2665,                0.90863,                 0.9111,                0.93072,                 0.7666,                0.86641,                0.63587,                 1.1022,             0.00066191,             0.00066191,             0.00066191
                     45,                0.71586,                0.62347,                 1.2641,                0.89965,                0.91758,                0.92547,                0.76742,                0.78052,                0.56976,                0.98667,             0.00064816,             0.00064816,             0.00064816
